registration_number,production_line,iata_type,model_name,model_code,icao_code_hex,iata_code_short,construction_number,test_registration_number,rollout_date,first_flight_date,delivery_date,registration_date,line_number,plane_series,airline_iata_code,airline_icao_code,plane_owner,engines_count,engines_type,plane_age,plane_status,plane_class
YR-BMB,Boeing 737 NG,B737-800,737,B737-85RWIN.,4A09A2,73H,29037,,,1998-12-13T23:00:00.000Z,1999-01-13T23:00:00.000Z,0000-00-00,0177,85R,0B,,Airline Management Solutions SRL,2,JET,18,active,
LZ-AOA,Airbus A318/A319/A32,A319-100,A319,A319-112,451E91,319,3139,D-AVXO,2000-07-04T22:00:00.000Z,2007-06-03T22:00:00.000Z,2007-06-17T22:00:00.000Z,2009-05-22T22:00:00.000Z,,112,1B,,,2,JET,10,active,1
LZ-AWA,Airbus A330/A340,A330-200,A330,A330-223,451DA0,332,255,,0000-00-00,1999-01-14T23:00:00.000Z,1999-02-18T23:00:00.000Z,2014-06-27T22:00:00.000Z,,223,1B,,International Lease Finance Corp,2,JET,18,active,
LZ-BHE,Airbus A318/A319/A32,A320-200,A320,A320-211,451E87,320,0305,F-WWDE,0000-00-00,1992-02-17T23:00:00.000Z,1992-05-12T22:00:00.000Z,2008-02-02T23:00:00.000Z,,211,1B,,GPA Finance Ltd,2,JET,25,inactive,
LZ-BHF,Airbus A318/A319/A32,A320-200,A320,A320-214,451E96,320,1087,F-WWIY,0000-00-00,1999-09-08T22:00:00.000Z,1999-10-18T22:00:00.000Z,2011-06-03T22:00:00.000Z,,214,1B,,International Lease Finance Corp,2,JET,18,inactive,
LZ-BHG,Airbus A318/A319/A32,A320-200,A320,A320-232,451D87,320,2844,F-WWIH,2006-06-23T22:00:00.000Z,2006-07-03T22:00:00.000Z,2006-07-27T22:00:00.000Z,2012-07-29T22:00:00.000Z,,232,1B,,Celestial Aviation Trading 9 Ltd,2,JET,11,inactive,
LZ-BHI,Airbus A318/A319/A32,A320-200,A320,A320-232,451DB0,320,3125,F-WWBF,2000-07-04T22:00:00.000Z,2007-04-05T22:00:00.000Z,2007-05-15T22:00:00.000Z,2015-06-04T22:00:00.000Z,,232,1B,,,2,JET,10,active,
N357QS,Boeing 727,B727-100,680,B727-021(F),A4003D,72X,680-0155,,,,2007-09-24T22:00:00.000Z,2007-02-26T23:00:00.000Z,,,1I,,Bank of Utah Trustee,2,JET,,inactive,
N359QS,Boeing 727,B727-100,680,B727-021(F),A407AB,72X,680-0126,,,,2007-03-29T22:00:00.000Z,2000-07-04T22:00:00.000Z,,,1I,,NJI Sales INC,2,JET,,inactive,
LZ-LDJ,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F19,M82,53230,,0000-00-00,1995-02-12T23:00:00.000Z,1995-02-27T23:00:00.000Z,,2106,,1T,,,2,JET,22,active,
LZ-LDM,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F0E,M82,53228,,0000-00-00,1995-01-11T23:00:00.000Z,1995-01-30T23:00:00.000Z,2012-05-11T22:00:00.000Z,2104,,1T,,,2,JET,22,active,
LZ-LDN,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F14,M82,53216,,0000-00-00,1993-02-28T23:00:00.000Z,1993-03-17T23:00:00.000Z,2010-06-10T22:00:00.000Z,2048,,1T,,,2,JET,24,active,
LZ-LDP,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F0F,M82,49973,,0000-00-00,1990-09-09T22:00:00.000Z,1990-09-26T22:00:00.000Z,2010-05-13T22:00:00.000Z,1762,,1T,,,2,JET,27,active,
LZ-LDS,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F16,M82,53218,,0000-00-00,1993-04-15T22:00:00.000Z,1993-05-02T22:00:00.000Z,,2060,,1T,,,2,JET,24,active,
LZ-LDU,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F17,M82,53204,,0000-00-00,0000-00-00,1992-06-30T22:00:00.000Z,2013-04-11T22:00:00.000Z,2009,,1T,,,2,JET,2016,active,
LZ-LDW,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F10,M82,49795,,0000-00-00,1989-09-21T22:00:00.000Z,1989-10-11T23:00:00.000Z,2010-05-10T22:00:00.000Z,1639,,1T,,,2,JET,28,active,
LZ-LDY,McDonnell Douglas DC,DC-9-82,MD82,MD-82,451F05,M82,49213,,0000-00-00,1985-12-03T23:00:00.000Z,1985-12-17T23:00:00.000Z,2005-02-06T23:00:00.000Z,1243,,1T,,,2,JET,31,active,
RA-67232,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,Challenger 850,1506A0,CR2,8099,,,,,2000-11-06T23:00:00.000Z,,850,2B,,,2,JET,,active,
VQ-BHF,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42497A,CR2,7802,,2000-03-05T23:00:00.000Z,2000-03-05T23:00:00.000Z,2003-07-10T22:00:00.000Z,2010-03-25T23:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BHG,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42497B,CR2,7816,,2000-03-05T23:00:00.000Z,2000-03-06T23:00:00.000Z,2003-07-16T22:00:00.000Z,2010-05-05T22:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BHH,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42497C,CR2,7824,,2000-03-06T23:00:00.000Z,2000-03-06T23:00:00.000Z,2003-07-24T22:00:00.000Z,2010-06-29T22:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BHI,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42497D,CR2,7809,,2000-03-06T23:00:00.000Z,2000-03-06T23:00:00.000Z,2003-07-12T22:00:00.000Z,2010-04-28T22:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BHJ,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42497E,CR2,7821,,2000-03-06T23:00:00.000Z,2000-03-06T23:00:00.000Z,2003-07-24T22:00:00.000Z,2010-06-03T22:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BJZ,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,4249D7,CR2,7500,,2000-01-03T23:00:00.000Z,2001-04-17T22:00:00.000Z,2001-04-25T22:00:00.000Z,2000-11-02T23:00:00.000Z,,200ER,2B,,Wells Fargo Bank Northwest NA Trustee,2,JET,16,inactive,
VQ-BLZ,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,4249EE,CR2,7520,,2000-01-05T23:00:00.000Z,2001-07-04T22:00:00.000Z,2001-07-15T22:00:00.000Z,2011-05-17T22:00:00.000Z,,200LR,2B,,,2,JET,16,inactive,
VQ-BOJ,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200LR,424541,CR2,7740,,2000-03-11T23:00:00.000Z,2003-01-06T23:00:00.000Z,2003-01-16T23:00:00.000Z,0000-00-00,,200ER,2B,,,2,JET,14,inactive,
VQ-BOL,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,424540,CR2,7739,,2000-02-29T23:00:00.000Z,2000-02-29T23:00:00.000Z,2003-01-29T23:00:00.000Z,2012-03-11T23:00:00.000Z,,200ER,2B,,US Bank NA Trustee,2,JET,17,active,
VQ-BOM,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42453F,CR2,7707,,2000-02-09T23:00:00.000Z,2000-02-10T23:00:00.000Z,2002-11-20T23:00:00.000Z,2011-11-01T23:00:00.000Z,,200ER,2B,,,2,JET,17,inactive,
VQ-BOP,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42453E,CR2,7689,,2000-02-08T23:00:00.000Z,2002-09-25T22:00:00.000Z,2002-10-10T22:00:00.000Z,2000-11-09T23:00:00.000Z,,200ER,2B,,,2,JET,15,inactive,
VQ-BOQ,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42453D,CR2,7613,,2000-01-31T23:00:00.000Z,2000-01-31T23:00:00.000Z,2002-01-30T23:00:00.000Z,2011-11-13T23:00:00.000Z,,200ER,2B,,,2,JET,17,active,
VQ-BOR,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42453C,CR2,7535,,2000-01-06T23:00:00.000Z,2001-07-15T22:00:00.000Z,2001-07-24T22:00:00.000Z,2012-07-08T22:00:00.000Z,,200ER,2B,,,2,JET,16,active,
VQ-BOT,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,42453B,CR2,7414,,0000-00-00,0000-00-00,2000-07-10T22:00:00.000Z,2012-01-08T23:00:00.000Z,,200ER,2B,,US Bank NA Trustee,2,JET,2016,active,
VQ-BOU,Bombardier CRJ-100/2,CL-600-2B19,Regional-Jet,CRJ200ER,424542,CR2,7313,,0000-00-00,1999-05-01T22:00:00.000Z,1999-05-12T22:00:00.000Z,2011-11-27T23:00:00.000Z,,200ER,2B,,US Bank NA Trustee,2,JET,18,inactive,
RA-61711,Antonov 148,An-148,An-148,An-148-100E,14F10F,A81,Unknown,,,2011-10-03T22:00:00.000Z,2012-11-07T23:00:00.000Z,,41-07,100E,2G,,,2,JET,6,active,
RA-61713,Antonov 148,An-148,An-148,An-148-100E,14F111,A81,Unknown,,,2012-03-21T23:00:00.000Z,2012-10-28T23:00:00.000Z,,41-10,100E,2G,,,2,JET,5,active,
RA-61714,Antonov 148,An-148,An-148,An-148-100E,14F112,A81,Unknown,,,2012-09-10T22:00:00.000Z,2012-11-27T23:00:00.000Z,,42-01,100V,2G,,,2,JET,5,active,
OB-1914-P,British Aerospace BA,B.146-300,146-300,B.146-300,400723,143,E3181,,0000-00-00,1990-10-30T23:00:00.000Z,1991-12-10T23:00:00.000Z,2000-09-03T22:00:00.000Z,181,,2I,,,4,JET,27,active,
OB-1930-P,British Aerospace BA,B.146-200,146-200,B.146-200,E8C035,142,E2201,,0000-00-00,1991-10-23T23:00:00.000Z,1991-12-17T23:00:00.000Z,2000-09-11T22:00:00.000Z,201,,2I,,,4,JET,26,active,
XT-ABT,Embraer EMB-170/EMB-,EMB170-100,Emb-170,EMB 170-100STD,09C028,E70,17000023,,2000-04-01T22:00:00.000Z,2000-04-01T22:00:00.000Z,2004-03-04T23:00:00.000Z,2015-04-29T22:00:00.000Z,,100ST,2J,,,2,JET,17,active,
HB-JVC,Fokker 28/70/100,F28 MK0100,F-100,F100,4B19E8,100,11501,PH-EZM,0000-00-00,1994-02-20T23:00:00.000Z,1994-03-02T23:00:00.000Z,2004-02-19T23:00:00.000Z,,,2L,,,2,JET,23,active,
HB-JVE,Fokker 28/70/100,F28 MK0100,F-100,F100,4B19EA,100,11459,PH-EZD,0000-00-00,1993-05-31T22:00:00.000Z,1993-06-29T22:00:00.000Z,2004-05-11T22:00:00.000Z,,,2L,,,2,JET,24,active,1
HB-JVF,Fokker 28/70/100,F28 MK0100,F-100,F100,4B19EB,100,11466,PH-EZK,0000-00-00,1993-07-12T22:00:00.000Z,1993-08-10T22:00:00.000Z,2004-06-21T22:00:00.000Z,,,2L,,,2,JET,24,active,1
HB-JVG,Fokker 28/70/100,F28 MK0100,F-100,F100,4B19EC,100,11478,PH-EZA,0000-00-00,1993-09-28T23:00:00.000Z,1993-10-24T23:00:00.000Z,2004-09-21T22:00:00.000Z,,,2L,,,2,JET,24,active,1
HB-JVH,Fokker 28/70/100,F28 MK0100,F-100,F100,4B19ED,100,11324,PH-EZG,0000-00-00,1991-01-17T23:00:00.000Z,1991-06-24T22:00:00.000Z,2010-06-13T22:00:00.000Z,,,2L,,,2,JET,26,active,1
HB-JVK,Airbus A318/A319/A32,A319-100,A319,A319-112,4B19F0,319,1886,D-AVWB,2000-02-29T23:00:00.000Z,2003-01-15T23:00:00.000Z,2003-01-29T23:00:00.000Z,2013-05-06T22:00:00.000Z,,112,2L,,GECAS,2,JET,14,active,
HB-JVL,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F1,E90,19000354,,2000-10-03T22:00:00.000Z,2000-10-03T22:00:00.000Z,2010-05-13T22:00:00.000Z,2014-12-17T23:00:00.000Z,,100LR,2L,,,2,JET,17,active,1
HB-JVM,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F2,E90,19000349,,2000-10-03T22:00:00.000Z,2000-10-03T22:00:00.000Z,2010-05-11T22:00:00.000Z,2015-01-27T23:00:00.000Z,,100LR,2L,,Bernina Aircraft Leasing,2,JET,17,active,1
HB-JVN,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F3,E90,19000285,,2000-09-03T22:00:00.000Z,2000-09-04T22:00:00.000Z,2009-05-13T22:00:00.000Z,0000-00-00,,100LR,2L,,,2,JET,17,active,
HB-JVO,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F4,E90,19000294,,2000-09-04T22:00:00.000Z,2000-09-04T22:00:00.000Z,2009-06-08T22:00:00.000Z,2015-03-26T23:00:00.000Z,,100LR,2L,,Bernina Aircraft Leasing,2,JET,17,active,1
HB-JVP,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F5,E90,19000387,,2000-10-08T22:00:00.000Z,2000-10-08T22:00:00.000Z,2010-10-05T22:00:00.000Z,2015-04-27T22:00:00.000Z,,100LR,2L,,Bernina Aircraft Leasing,2,JET,17,active,1
HB-JVQ,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F6,E90,19000420,,,2011-02-14T23:00:00.000Z,2011-03-15T23:00:00.000Z,0000-00-00,,100LR,2L,,Bernina Aircraft Leasing,2,JET,6,active,1
HB-JVR,Embraer EMB-190/EMB-,EMB190-100,Emb-190,EMB 190-100LR,4B19F7,E90,19000435,,,,2011-05-04T22:00:00.000Z,2015-06-30T22:00:00.000Z,,100LR,2L,,,2,JET,,active,1
OM-VRC,ATR 42/72,ATR72-200,ATR 72,ATR72-202,505EC3,AT7,307,,1992-04-25T22:00:00.000Z,1992-05-05T22:00:00.000Z,1992-06-29T22:00:00.000Z,2009-06-26T22:00:00.000Z,,202,2N,,Danube Wings,2,TURBOPROP,25,inactive,
SE-ISE,Saab 340,S340 A,340,S340A,4A8155,SF3,156,,0000-00-00,1989-06-27T22:00:00.000Z,1989-08-15T22:00:00.000Z,1999-08-09T22:00:00.000Z,,A,2N,,Golden Air Flyg AB,2,TURBOPROP,28,active,
SE-KXG,Saab 340,S340 B,340,S340B,4AAF07,SFB,164,,0000-00-00,1989-09-21T22:00:00.000Z,1989-10-24T23:00:00.000Z,2006-03-03T23:00:00.000Z,,B,2N,,Golden Air Flyg AB,2,TURBOPROP,28,inactive,
SE-KXI,Saab 340,S340 B,340,S340B,4AAF09,SFB,176,,0000-00-00,1989-12-21T23:00:00.000Z,1990-01-31T23:00:00.000Z,2006-09-04T22:00:00.000Z,,B,2N,,Golden Air Flyg AB,2,TURBOPROP,27,active,
SE-LJM,Saab 340,S340 A,340,S340A,4AB14D,SF3,112,,0000-00-00,1987-12-20T23:00:00.000Z,1988-02-08T23:00:00.000Z,2008-07-30T22:00:00.000Z,,A,2N,,AviTrans Nordic AB,2,TURBOPROP,29,active,
SE-LJN,Saab 340,S340 A,340,S340A,4AB14E,SF3,114,,0000-00-00,1988-01-14T23:00:00.000Z,1988-02-28T23:00:00.000Z,2008-07-30T22:00:00.000Z,,A,2N,,Air Aland,2,TURBOPROP,29,active,
SE-LJS,Saab 340,S340 B,340,S340B,4AB153,SFB,215,,0000-00-00,1990-10-10T23:00:00.000Z,1990-12-06T23:00:00.000Z,2007-05-15T22:00:00.000Z,,B,2N,,SG Finans A/S Norge,2,TURBOPROP,27,active,
SE-LJT,Saab 340,S340 B,340,S340B,4AB154,SFB,221,,0000-00-00,1990-11-22T23:00:00.000Z,1991-01-17T23:00:00.000Z,2007-01-17T23:00:00.000Z,,B,2N,,Sverigeflyg Leasing,2,TURBOPROP,26,active,
SE-LLO,British Aerospace AT,BAe ATP,ATP,BAe ATP,4AB18F,ATP,2023,,0000-00-00,1990-04-30T22:00:00.000Z,1990-05-11T22:00:00.000Z,2008-10-04T22:00:00.000Z,,,2N,,Arafart AB,2,TURBOPROP,27,active,
SE-LMR,Saab 340,S340 A,340,S340A,4A8197,SF3,141,,0000-00-00,1989-01-26T23:00:00.000Z,1989-02-19T23:00:00.000Z,2000-09-12T22:00:00.000Z,,A,2N,,Erik Thun AB Sweden,2,TURBOPROP,28,active,
SE-MAK,British Aerospace AT,BAe ATP,ATP,BAe ATP,4AB42B,ATP,2040,,0000-00-00,1991-08-13T22:00:00.000Z,1991-11-06T23:00:00.000Z,2008-07-09T22:00:00.000Z,,,2N,,,2,TURBOPROP,26,active,
SE-MAL,British Aerospace AT,BAe ATP,ATP,BAe ATP,4AB42C,ATP,2045,,0000-00-00,1991-12-17T23:00:00.000Z,1992-02-26T23:00:00.000Z,2008-10-08T22:00:00.000Z,,F,2N,,,2,TURBOPROP,25,active,
SE-MEE,British Aerospace AT,BAe ATP,ATP,BAe ATP,4AB4A5,ATP,2019,,0000-00-00,1989-11-19T23:00:00.000Z,1989-12-12T23:00:00.000Z,2011-01-11T23:00:00.000Z,,,2N,,Erik Thun AB Sweden,2,TURBOPROP,27,active,
SE-MEX,British Aerospace AT,BAe ATP,ATP,BAe ATP,4950CA,ATP,2018,,0000-00-00,1989-09-17T22:00:00.000Z,1989-10-01T23:00:00.000Z,0000-00-00,,,2N,,Regional 1 Inc,2,TURBOPROP,28,active,
4X-EBM,Boeing 757,B757-200,757,B757-258,738092,752,23918,,,1987-12-03T23:00:00.000Z,1987-12-16T23:00:00.000Z,0000-00-00,0156,258,2U,,,2,JET,29,inactive,
OE-GBB,Fairchild Dornier Do,Do328-100,Do.328,Do328-110,440CC2,D38,3078,,0000-00-00,1996-09-20T22:00:00.000Z,1996-11-20T23:00:00.000Z,1996-11-20T23:00:00.000Z,,110,2W,,,2,TURBOPROP,21,active,
OE-LIR,Fairchild Dornier Do,Do328-100,Do.328,Do328-110,44005E,D38,3115,,0000-00-00,0000-00-00,2000-05-14T22:00:00.000Z,2000-05-12T22:00:00.000Z,,110,2W,,,2,TURBOPROP,2016,active,
PP-PSB,Embraer EMB-120,EMB120,Emb-120,EMB 120ER(QC),E48228,EM2,120303,,0000-00-00,0000-00-00,1996-03-11T23:00:00.000Z,1996-03-25T23:00:00.000Z,,ER-QC,2Z,,,2,TURBOPROP,2016,inactive,
PP-PTM,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E481F2,AT7,798,,2000-08-05T22:00:00.000Z,2008-06-22T22:00:00.000Z,2008-07-22T22:00:00.000Z,2008-07-22T22:00:00.000Z,,212A,2Z,,,2,TURBOPROP,9,active,
PP-PTN,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E482BC,AT7,832,,2000-08-09T22:00:00.000Z,2008-10-28T23:00:00.000Z,2008-11-06T23:00:00.000Z,0000-00-00,,212A,2Z,,,2,TURBOPROP,9,active,
PP-PTO,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E482F6,AT7,837,,2000-08-10T22:00:00.000Z,2008-11-16T23:00:00.000Z,2008-12-04T23:00:00.000Z,2008-12-04T23:00:00.000Z,,212A,2Z,,,2,TURBOPROP,8,active,
PP-PTP,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48420,AT7,865,,2000-09-03T22:00:00.000Z,2009-04-16T22:00:00.000Z,2009-05-19T22:00:00.000Z,2009-05-19T22:00:00.000Z,,212A,2Z,,,2,TURBOPROP,8,active,
PP-PTQ,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E4843E,AT7,874,,2000-09-05T22:00:00.000Z,2009-06-30T22:00:00.000Z,2009-07-08T22:00:00.000Z,2009-07-08T22:00:00.000Z,,212A,2Z,,,2,TURBOPROP,8,active,
PR-PDA,ATR 42/72,ATR72-600,ATR 72,ATR72-600,E48C21,AT7,1022,,,2012-05-08T22:00:00.000Z,2012-05-22T22:00:00.000Z,2000-12-04T23:00:00.000Z,,600,2Z,,Air Lease Corporation,2,TURBOPROP,5,active,
PR-PDB,ATR 42/72,ATR72-600,ATR 72,ATR72-600,E48C22,AT7,1028,,,2012-06-07T22:00:00.000Z,2012-06-25T22:00:00.000Z,,,600,2Z,,Air Lease Corporation,2,TURBOPROP,5,active,
PR-PDC,ATR 42/72,ATR72-600,ATR 72,ATR72-600,E48CDF,AT7,1040,,,2012-08-21T22:00:00.000Z,2012-08-30T22:00:00.000Z,2000-12-09T23:00:00.000Z,,600,2Z,,,2,TURBOPROP,5,active,
PR-PDD,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48CF8,AT7,562,,0000-00-00,1998-08-23T22:00:00.000Z,2000-02-01T23:00:00.000Z,2012-08-24T22:00:00.000Z,,212A,2Z,,,2,TURBOPROP,19,active,
PR-PDE,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48D7F,AT7,565,,0000-00-00,1998-09-09T22:00:00.000Z,1999-06-27T22:00:00.000Z,2012-12-07T23:00:00.000Z,,212A,2Z,,,2,TURBOPROP,19,active,
PR-PDH,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48D80,AT7,572,,0000-00-00,1998-09-01T22:00:00.000Z,1999-10-03T22:00:00.000Z,2013-11-08T23:00:00.000Z,,212A,2Z,,Aircraft International Renting Ltd,2,TURBOPROP,19,active,
PR-PDJ,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48E9C,AT7,575,,0000-00-00,1999-09-09T22:00:00.000Z,1999-10-05T22:00:00.000Z,2013-11-07T23:00:00.000Z,,212A,2Z,,Constellation Aircraft Leasing Ltd. Dublin,2,TURBOPROP,18,active,
PR-PDK,ATR 42/72,ATR72-500,ATR 72,ATR72-500,E48E9D,AT7,593,,0000-00-00,1999-11-03T23:00:00.000Z,1999-11-19T23:00:00.000Z,0000-00-00,,212A,2Z,,A.I.R Limited,2,TURBOPROP,18,active,
OK-CCG,Saab 340,S340 A,340,S340A (F),49D00E,SFF,104,,0000-00-00,1987-09-23T22:00:00.000Z,1987-10-25T23:00:00.000Z,2005-06-26T22:00:00.000Z,,A,3B,,,2,TURBOPROP,30,inactive,
C-FAID,Bombardier DHC-8-100,DHC-8-300,DHC-8,DHC-8-314(F),C000D4,DH3,400,,0000-00-00,0000-00-00,1995-04-25T22:00:00.000Z,2008-12-03T23:00:00.000Z,,314B,3H,,,2,TURBOPROP,2016,active,
C-FAIV,Bombardier DHC-8-100,DHC-8-100,DHC-8,DHC-8-106,C000E6,DH1,235,,0000-00-00,1990-09-25T22:00:00.000Z,1990-10-09T23:00:00.000Z,2005-04-10T22:00:00.000Z,,102A,3H,,,2,TURBOPROP,27,active,
C-FCJD,Bombardier DHC-8-100,DHC-8-100,DHC-8,DHC-8-102,C00636,DH1,158,,1989-06-11T22:00:00.000Z,,1989-06-26T22:00:00.000Z,1989-06-26T22:00:00.000Z,,102,3H,,,2,TURBOPROP,,active,
C-FDAO,Bombardier DHC-8-100,DHC-8-100,DHC-8,DHC-8-102,C007FB,DH1,123,,1988-11-03T23:00:00.000Z,,1988-11-22T23:00:00.000Z,1988-10-24T23:00:00.000Z,,102,3H,,,2,TURBOPROP,,active,
C-FEAI,Bombardier DHC-8-100,DHC-8-300,DHC-8,DHC-8-314,C00A99,DH3,334,,1992-07-09T22:00:00.000Z,,1992-10-08T23:00:00.000Z,2012-02-29T23:00:00.000Z,,311A,3H,,,2,TURBOPROP,,active,
C-FIAI,Bombardier DHC-8-100,DHC-8-300,DHC-8,DHC-8-Q314,C01529,DH3,485,,0000-00-00,,1997-12-13T23:00:00.000Z,2010-12-14T23:00:00.000Z,,Q-314B,3H,,,2,TURBOPROP,,active,
C-FKTM,Bombardier DHC-8-100,DHC-8-300,DHC-8,DHC-8-311,C01C63,DH3,298,,1991-10-01T23:00:00.000Z,,1992-04-07T22:00:00.000Z,0000-00-00,,311A,3H,,,2,TURBOPROP,,active,
